Date,Artist,Title,Lyrics
2015-07-23,Fetty Wap Featuring Remy Boyz,679,"  [produced by peoples]  [intro: fetty wap] yeaaah baby, 17 (remyboy lifestyle) ay, ay, look  [verse 1: fetty wap] baby girl, you're so damn fine though i'm tryna know if i could hit it from behind though i'm sipping on you like some fine wine though and when it's over, i press rewind though, ay you talking bands, girl, i got it benjamins all in my pocket i traded in my trues for some robins he playing batman, fetty's gon' rob him, ay i got a glock in my 'rari, ay 17 shots, no .38 i got a glock in my 'rari 17 shots, no .38  [hook: fetty wap] i'm like, yeah, she's fine wonder when she'll be mine she walk past, i press rewind to see that ass one more time and i got this sewed up remy boyz, they know us all fast money, no slow bucks no one can control us ay, yeaaah baby  [hook: fetty wap] i'm like, yeah, she's fine wonder when she'll be mine she walk past, i press rewind to see that ass one more time and i got this sewed up remy boyz, they know us all fast money, no slow bucks no one can control us ay, yeaaah baby  [verse 2: montana bucks] tell me what you see is it money or its me? i smoke twenty, smell the weed i got hunnies in my v they like, ""monty, can you be my baby daddy?"" im like yeah i got robins on my jeans you see the wings on every pair all you see is remy boyz you know my niggas everywhere and if somebody got a problem we could meet up anywhere now go say something dont you niggas play dumb you know where we came from you dont want sauce, no a1  [hook: fetty wap] i'm like, yeah, she's fine wonder when she'll be mine she walk past, i press rewind to see that ass one more time and i got this sewed up remy boyz, they know us all fast money, no slow bucks no one can control us ay, yeaaah baby  [verse 3: fetty wap] ay, they think they know us they can't control us man i got this sewed up remy boyz they know us 679 this is zoo year baby monty and the zoovier baby zoogang, all my zoo near baby, yeah baby a thousand on my shoes when i walk through baby 10.5 for a walkthrough baby zoogang you know my whole zoo near and baby i'm zoovier  [removed for album: p-dice] she a cutie and she fine, make me wanna make her mine she ain't nothing like them bimbos if you like it, we can swerve, we can light and stain up here blowing, pluck it out the window we get playing, press rewind, got her singing every time take a high note for me girlfriend got my city looking rude i ain't diddy, i ain't loon, but i think i need a girlfriend she feeling great as i'm talking to her she a remygirl so i'm gon' pursue her i brought a lot of loud, lot of remy to sip on thousand dollars when i get my tip on i'm off her, asked her if her fatty real she said that's all her, got her with the happy feel i'm 'bout to spoil her, got her with the happy feel i'm 'bout to spoil her, oh my  [hook: fetty wap] i'm like, yeah, she's fine wonder when she'll be mine she walk past, i press rewind just to see that ass one more time and i got this sewed up remy boyz, they know us all fast money, no slow bucks no one can control us ay, yeaaah baby  [outro: fetty wap] zoowap, monty zoowap, dicey yeaah baby, remy boyz yeaah, yeaaah  "
2016-11-10,Amine,Caroline,"  [intro] listen man what's up? i heard you done got you a dime piece, man hell naw, man one of them beyonc, meagan good types, man nah, nah, nah is that true, man? i just wanna know probably not i mean, shit to be honest with you, man, she's a...  [verse] bad thang, fine as hell, thick as fuck oh my god, that's my baby caroline, you divine mighty fine shawty really blow the pipe (that's true) like a pro aha, fuck you thought? holy shit, i'm really lit it's looking like it's 'bout time to fuck it up caroline, listen up, don't wanna hear about ya horoscope or what the future holds shut up and shut up and let's get gory, like a tarantino movie don't wanna talk it out, can we fuck it out? cause we gon' be up all night, fuck a decaf you say i'm a tall thug, guess i'm a g-raffe if ya want safe-sex, baby use the knee pads freaky with the sticky icky baby give me kitty kitty killa, westside nigga boy you like 98 degrees and i'm 300, nigga keep ya feet runnin' i chief keef keef when i eat these beats better boy get scurred don't run up in my lane, i don't want you in my lane you a lame, get swerved  [chorus] cause great scenes might be great but i love your bloopers and perfect's for the urgent baby i want forever caroline, don't you see that i want you to be my  [verse] bad thang, fine as hell, thick as fuck oh my god, that's my baby caroline, you divine mighty fine shawty really blow the pipe (that's true) like a pro aha... what? holy shit, i'm really lit it's looking like it's 'bout time to fuck it up caroline, listen up, don't wanna hear about ya horoscope or what the future holds shut up and shut up and let's get gory, like a tarantino movie don't wanna talk it out, can we fuck it out? cause we gon' be up all night, fuck a decaf you say i'm a tall thug, guess i'm a g-raffe if ya want safe-sex, baby use the knee pads freaky with the sticky icky baby give me kitty kitty killa, westside nigga boy you like 98 degrees and i'm 300, nigga keep ya feet runnin' i chief keef keef when i eat these beats bet a boy get scurred don't run up in my lane, i don't want you in my lane you a lame, get swerved  [chorus] cause great scenes might be great but i love your bloopers and perfect's for the urgent baby i want forever caroline, don't you see that i want you to be my  [outro] bad thang, bad, bad, bad, bad thang, thang, thang, thang, thang bad thang, thang, bad, bad, bad, b-b-bad, thang, thang bad thang, thang, thang, bad, b-bad, bad thang, thang, thang bad thang, thang, bad, bad, bad, b-b-bad  "
2016-11-24,Future Featuring Drake,Used To This,"  [intro] (zaytoven)  [hook: future] mexicano, working like i'm mexicano new persona, we're moving on from ferragamo (i'm moving on) get the llama, i party with the real madonna (yeah) beat the odds, do numbers and remain humble (future) drop-top porsches, i'm so used to this smoking out the pound, i'm so used to this i know where i'm from and i got used to this mansion in the hills, i got used to this  [verse 1: future] stack of booty bitches, i got used to this there's iceland in my wrist, i done got used to this tropicana bitches, i got all kinda flavors selling dope all my life, i can't do minimum wage (nah) dirty-dirty money, i got used to this (gang) i give you my whole heart till there ain't nothing to give (future) you know how far we came if you know where we been (freebandz) how many niggas you know can hop in the benz? be honest to yourself, don't you never pretend (tell 'em) don't ever play yourself, know when it all begins (you know) i had to put my back against the wall (and what?) tell me that i don't deserve to ball  [hook: future] mexicano, working like i'm mexicano new persona, we're moving on from ferragamo get the llama, i party with the real madonna beat the odds, do numbers and remain humble (yeah) drop-top porsches, i'm so used to this smoking out the pound, i'm so used to this i know where i'm from and i got used to this mansion in the hills, i got used to this  [verse 2: drake] lambo come alive, man, i'm used to this no one looks surprised cause we used to this imma make sure that we get used to this treat my brother's kids like they one of my kids never looking back on it, we did what we did could never find the time for the people i miss thought they had my back against the wall tell me that i don't deserve to ball well, then tell me who deserve it eyes getting low but i'm still observing, i see you lurking never see me out in person, i'm always working money on your head if you make a nigga nervous never made a move out here unless i was certain tatted on me, but this shit is deeper than the surface i'm with everyone that i was here with in the first place making sure that they all good before they close the curtain  [hook: future] mexicano, working like i'm mexicano new persona, we're moving on from ferragamo get the llama, i party with the real madonna (yeah) beat the odds, do numbers and remain humble (future) drop-top porsches, i'm so used to this smoking out the pound, i'm so used to this i know where i'm from and i got used to this mansion in the hills, i got used to this  [outro: future] oh, oh, oh, oh  "
2015-02-05,Ne-Yo Featuring Juicy J,She Knows,"  [produced by j. cole]  [intro: j. cole] she knows, she knows hey  [background sample: amber coffman] bad things happen to the people you love and you find yourself praying up to heaven above but honestly ive never had much sympathy cause those bad things, i always saw them coming for me oh i, oh i-i-i (im gonna run run away, run run away, run away) well alright (run away and never come back) oh i, oh i-i-i(run run away, run run away, run away show em that your) well alright (color is black)  [verse 1: j.cole] damned if i do damned if i don't you know i got a girl back home you got a man what you want, what you want what these bitches want from a nigga on some dmx shit i know them other niggas love tricking on some bmx shit but not me now i'm sure you done heard about me a black star, mos def, kweli good so them bad hoes try me, they try me this is martin luther king in the club getting dubs, with a bad bitch in his ear sayin' that she down for whatever in the back of his mind is coretta  [hook: j.cole] and she knows, she knows and i know she knows, and i know she knows and deep down she knows, she knows and i know she knows, and i know she knows well alright oh i, oh i-i-i i can't be what you want from me well alright oh i, oh i-i-i i cant be what you want from me well alright  [verse 2: j.cole] damned if i do damned if i don't i'm passing up on bad hoes trying to be the man that she want, that she want what she want from a nigga to put a ring on it got a bitch on my dick right now and she just want to sing on it got me up so high trying to get a piece of that apple pie i be up so high trying to get a piece of that apple pie dancehall vibes with my pants on fire cause i told her i was sleep cause i creep with this pretty young thing that i chose she could be doing the same thing i suppose  [hook: j.cole] and she knows, she knows and i know she knows, and i know she knows and deep down she knows, she knows and i know she knows, and i know she knows well alright oh i, oh i-i-i i can't be what you want from me well alright oh i, oh i-i-i i cant be what you want from me well alright  [refrain: j.cole] niggas say turn up, hoes say turn up only bad thing 'bout a star is they burn up niggas say turn up, hoes say turn up only bad thing 'bout a star is they burn up rest in peace to aaliyah rest in peace to left eye michael jackson, i'll see ya just as soon as i die  [bridge: j.cole] got me up so high, trying to get a piece of that apple pie i be up so high, trying to get a piece of that apple pie got me up so high, trying to get a piece of that apple pie i be up so high, trying to get a piece of that apple pie  [outro: j.cole] well alright oh i, oh i-i-i i can't be what you want from me well alright oh i, oh i-i-i i can't be what you want from me well alright  "
2016-06-02,Drake,Controlla,"  [verse 1: drake] right, my yiy just changed you just buzzed the front gate i thank god you came how many more days could i wait? i made plans with you and i won't let 'em fall through i, i, i, i, i  [hook: drake] i think i'd lie for you i think i'd die for you jodeci ""cry for you"" do things when you want me to like controlla, controlla, yeah like controlla, controlla, yeah  [verse 2: drake] okay, you like it, when i get aggressive, tell you to go slower, go faster like controlla, controlla, yeah like controlla, controlla, yeah  [bridge: drake] and im never on a waste ting, shorty i do it how you say you want it them girls, they just wanna take my money they don't want me to give you nothing they don't want you to have nothing they don't wanna see me find your lovin' they don't wanna see me smiling back when they pree  [hook: drake] knowing i'd lie for you thinking i'd die for you jodeci ""cry for you"" do things when you want me to like controlla, controlla, yeah like controlla, controlla, yeah  [verse 3: beenie man] gyal a tear off mi garments and a bawl fi come inna mi apartment (woi!) di gyal dem want di length and strength action speak louder than argument well  [verse 4: drake] but you can't just diss and come tell man sorry you can't listen to me talk and go tell my story, nah it don't work like that when you love somebody my old flex is my new flex now and we're workin' on it, yeah and that's why i need all the energy that you bring to me my last girl would tear me apart but she'd never wanna split a ting with me  [hook: drake] but when it comes to you, you i think i'd lie for you i think i'd die for you do things when you want me too like controlla, controlla, yeah like controlla, controlla, yeah  [bridge: drake] and im never on a waste ting shorty i do it how you say you want it them girls, they just wanna take my money they don't want me to give you nothing they don't want you to have nothing they don't wanna see me find your lovin' they don't wanna see me smiling back when they pree (jheeze!)  [outro: beenie man] music a drop! gyal a whine up dem bumpa dis is di summa summa controlla drake from canada, beenie man from jamaica dah one yah a murdazagga!  "
2016-04-14,Future Featuring The Weeknd,Low Life,"  [refrain] high, high, get, get, gettin' high, everybody gettin' high get, get, get, gettin' high, you're unbelievably high  [intro: future] i just took some molly, what else? (hey) got some bitch from follies with us ('scuse me, 'scuse me) she gonna fuck the squad, what else? (i swear) i'ma fuck her broads, what else? (get, get!) bitch from pakistan, what up? (foreign!) ferraris and them lambs, what else? (skrrrt) 'bout to fuck this club up, what else? (get, get!) (metro boomin wants some more, nigga!)  [verse 1: the weeknd] i turn the ritz into a poor house it's like eviction number four now go 'head and ash it on the floor now girl go 'head and show me how you go down and i feel my whole body peakin' and i'm fuckin' anybody with they legs wide gettin' faded with some bitches from the west side east coast, nigga reppin' north side never waste a ho's time (freebands) bitch, i'm on my own time fuck a nigga co-sign always change my number and my phone line baby girl, i don't lie used to have no money for a crib now my room service bill cost your whole life if they try to stunt me, i go all out military i'm camo'ed all out, like i'm in the military i free up all my niggas locked up in the penitentiary  [hook: the weeknd + future] 'cause i'm always reppin' for that low life reppin' for that low life turn up low life, low life, low life know i'm reppin' for that low, low life representin', i'm representin', representin' said i'm reppin' for that low life low life, low life, low life, low life i'm representin' for that low life said i'm repping for that low life i'm reppin', that's reppin', i'm reppin' low life, low life, low life rep, rep, rep, rep, rep, rep, rep woo, woo, woo, woo yeah  [verse 2: future] make her take a sip of ace of spade like it's water i been on the molly and them xans with your daughter if she catch me cheating, i will never tell her sorry if she catch me cheating, i will never tell her sorry porsches in the valet, i got bentleys, i got 'raris taking pain pills on the plane, gettin' chartered poppin' tags on tags, i was starvin' bitch, i got the juice and the carbine turn a five star hotel to a traphouse roaches everywhere, like we forgot to take the trash out flood my cross with ice, gettin' money my religion got my baby momma and my side bitch kissin' i turn the ritz into a lean house this the sixth time gettin' kicked out i can't feel my face, i'm on adderall, nauseous niggas tryna ride my fuckin' wave, now they salty runnin' with the wave, get you killed quick shoot you in your back like you ricky lil mexico, from no life to afterlife my whole life, my whole life  [hook: the weeknd + future] 'cause i'm always reppin' for that low life low life, low life, low life know i'm reppin' for that low, low life representin', i'm representin', representin' said i'm reppin' for that low life low life, low life, low life, low life i'm representin' that low life said i'm reppin' for that low life low life, i'm reppin' for that low life low life, low life, low life rep, rep, rep, rep, rep, rep, rep, woo yeah  [bridge: future] yeah, they stereotypin' 'cause they know a nigga keep ten rifles and they know a nigga keep ten snipers keep a baby bottle like we wearin' diapers yeah, they stereotypin' 'cause they know a nigga keep twenty rifles and they know a nigga keep twenty snipers and they know a nigga keep ten wifeys sniper, sniper, sniper, sniper, sniper wifey, wifey, wifey, wifey, wifey that's your wifey, wifey, wifey, wifey, wifey? i think i like her, like her, like her, like her that's your wifey, wifey, wifey, wifey, wifey? i think i like her, like her, like her, like her oh, that's your wifey, wifey, wifey, wifey, wifey? i think i like her, like her, like her, like her  [refrain] getting high, getting high, getting high everybody getting high getting high, getting high, getting high everybody getting high getting high, getting high, getting high everybody getting high getting high, getting high, getting high and i'm the reason why getting high, getting high, getting high everybody getting high getting high, getting high, getting high everybody getting high getting high, getting high, getting high everybody getting high getting high, getting high, getting high and i'm the reason why  [outro: future] i just took some molly, what else? got some bitch from follies with us she gonna fuck the squad, what else? i'ma fuck her broads, what else? bitch from pakistan, what up? ferraris and them lambs, what else? 'bout to fuck this club, what else? 'bout to fuck this club, what else?  "
2015-12-24,The Weeknd,In The Night,"  [verse 1] all alone, she was livin' in a world without an end or beginnin' baby girl was livin' life for the feelin' but i don't mind, i don't mind, oh and all the wrongs she committed she was numb and she was so co-dependent she was young and all she had was the city but i don't mind, i don't mind  [pre-chorus] and i know that she's capable of anything, it's riveting but when you wake up she's always gone, gone, gone, oh  [chorus] in the night she hears him calling in the night she's dancin' to relieve the pain she'll never walk away i don't think you understand in the night when she comes crawlin' dollar bills and tears keep fallin' down her face she'll never walk away i don't think you understand  [verse 2] he sang a song when he did it he was cold and he was so unforgiving now she dances to the song on the minute yeah, all the time, all the time, oh it make her weak when she hear it and it got her on her knees like religion she was young and she was forced to be a woman yeah, all the time, all the time  [pre-chorus] and i know that she's capable of anything, it's riveting but when you wake up she's always gone, gone, gone, oh  [chorus] in the night she hears him calling in the night she's dancin' to relieve the pain she'll never walk away i don't think you understand in the night when she comes crawlin' dollar bills and tears keep fallin' down her face she'll never walk away i don't think you understand  [bridge] oh baby i don't think you understand i don't think you understand i don't think you understand oh no, no i don't think you understand  [chorus] in the night she hears him calling in the night she's dancin' to relieve the pain she'll never walk away i don't think you understand in the night when she comes crawlin' dollar bills and tears keep fallin' down her face she'll never walk away i don't think you understand  "
2015-07-23,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You,"  [chorus: chris brown & nicki minaj] yeah, yeah, baby, is you drunk? is you had enough? are you here lookin' for love? got the club goin' crazy all these bitches, but my eyes on you is you somebody's baby? if you ain't, girl, what we gon' do? if you ain't, gon' need it, baby, yeah, yeah, yeah give it all up for you right now we got the club goin' crazy all eyes, all eyes on you  [verse 1: meek mill & (chris brown)] she was the baddest, i was the realest we was the flyest, up in the buildin' we was countin' this money, lovin' the feelin' look at you now, in love with a hitta (yeah, yeah, yeah) but now it's all eyes on me, and it all lies on me (yeah, yeah) to say somethin' to your pretty ass some hood shit, what you lookin' at? (uh-huh) 'cause i'm good for that, birkin bags, i'm good for that (yeah) might just be your plug for that (yeah) you might fall in love with that, got love for that (yeah, yeah, yeah) what's your name? who you with? where you from? you the shit choose and pick, get the right one all these chicks, got to like one (yeah, yeah, yeah) all these hits, you got to like one all these bottles, got to like some (oh) all these models, got the right one what you gon' do? hide or run? you ready?  [chorus: chris brown & nicki minaj] baby, is you drunk? is you had enough? are you here lookin' for love? got the club goin' crazy all these bitches, but my eyes on you is you somebody's baby? if you ain't, girl, what we gon' do? if you ain't, gon' need it, baby, yeah, yeah, yeah give it all up for you right now we got the club goin' crazy all eyes, all eyes on you  [verse 2: nicki minaj & (meek mill)] yo, he was the realest, i was the baddest, we was the illest when he approached me, i said, ""yo what the deal is?"" in and out them dealers, rockin' chinchillas i got him in the back of that 'bach, i think he catchin' feelings now it's all eyes on us, and this all lies on trust and if them bitches wanna trip, tell 'em they tour guide's on us this kitty cat on reclusive, he duck, duckin' them gooses i put him on to that new new, now he only fuck with exclusives he was like (what's your name?) my name nick (where you from?) new york in this bitch (choose and pick) you got the right one all them hoes, ain't nothin' like them nigga you know you'd never wife them none of them niggas ain't never hit this still at the top of all they hit lists what they gon' do? meek and nick  [chorus: chris brown & nicki minaj] yeah, baby, is you drunk? is you had enough? are you here lookin' for love? got the club goin' crazy (all these hittas, but my eyes on you is you somebody's baby? if you ain't, boy, what we gon' do?) if you ain't, gon' need it, baby, yeah, yeah, yeah give it all up for you right now we got the club goin' crazy all eyes, all eyes on you  [outro: meek mill & (nicki minaj)] she was the baddest (he was the realest) we was the flyest (we was the illest) i was the realest (i was the baddest) we was the flyest, up in the buildin'  "
2017-06-15,French Montana Featuring Swae Lee,Unforgettable,"  [chorus: swae lee] it's not good enough for me since i've been with you, ooh it's not gonna work for you nobody can equal me (i know) i'm gonna sip on this drink, when i'm fucked up i should know how to pick up i'm gonna catch the rhythm while she push up against me, ooh, is she tipsy? i had enough convo for 24 i peep'd you from across the room pretty little body dancin' like gogo, hey and you are unforgettable i need to get you alone (oeh) why not? a fuckin' good time never hurt nobody i got a little drink but it's not bacardi if you loved the girl, then i'm so, so sorry i gotta give it to her like we in a marriage oh, like we in a hurry no, no, i won't tell nobody you're on your level too tryna do what lovers do  [verse 1: french montana] feelin' like i'm fresh out; boosie if they want the drama, got the uzi ship the whole crew to the cruise ship doin' shit you don't even see in movies ride with me, ride with me, boss i got a hard head, but her ass soft she want the last name with the ring on it 'cause i pulled out a million cash, told her plank on it  [refrain: swae lee & french montana] and you are unforgettable i need to get you alone now you wanna choose just pop the bubbly in the 'cuzi  [chorus: swae lee] it's not good enough for me since i've been with you, ooh i'm gonna sip on this drink, when i'm fucked up i should know how to pick up i'm gonna catch the rhythm while she push up against me, ooh, is she tipsy? i had enough convo for 24 i peep'd you from across the room pretty little body dancin' like gogo, hey and you are unforgettable i need to get you alone (oeh) why not? a fuckin' good time never hurt nobody i got a little drink but it's not bacardi if you loved the girl, then i'm so, so sorry i gotta give it to her like we in a marriage oh, like we in a hurry no, no, i won't tell nobody you're on your level too tryna do what lovers do  [verse 2: french montana] you ain't enough for me too much for you alone baby, go and grab some bad bitches, bring 'em home know the jet's on me i'ma curve my best for you, you know so pick up that dress for me leave the rest on too much convo for 24 hours when you stand next to 24 karats she left her man at home she don't love him no more i want your mind and your body don't mind nobody so, you don't ever hurt nobody baby girl, work your body, work your body  [refrain: swae lee & french montana] and you are unforgettable i need to get you alone now you wanna choose just pop the bubbly in the 'cuzi why not?  [outro: swae lee] oh, like we in a hurry no, no, i won't tell nobody you're on your level too tryna do what lovers do  "
2015-03-12,Fetty Wap,Trap Queen,"  [intro] rgf productions remy boyz, yeaahhhh 1738  [bridge] i'm like ""hey, what's up? hello"" seen yo pretty ass soon as you came in the door i just wanna chill, got a sack for us to roll married to the money, introduced her to my stove showed her how to whip it, now she remixin' for low she my trap queen, let her hit the bando we be countin' up, watch how far them bands go we just set a goal, talkin' matchin' lambos at 56 a gram, 5 a 100 grams though man, i swear i love her, how she work the damn pole hit the strip club, we be letting bands go everybody hating, we just call them fans, though in love with the money, i ain't never lettin' go  [hook] and i get high with my baby i just left the mall, i'm gettin' fly with my baby, yeah and i can ride with my baby i be in the kitchen cookin' pies with my baby, yeah and i can ride with my baby i just left the mall, i'm gettin' fly with my baby, yeah and i can ride with my baby i be in the kitchen cookin' pies  [verse 1] i'm like, ""hey, what's up? hello"" i hit the strip with my trap queen, cause all we know is bands i just might snatch up a 'rari and buy my boo a lamb' i might just snatch her a necklace, drop a couple on a ring she ain't wantin' for nothin' because i got her everything it's big zoowap from the bando, remind me where i can't go remy boyz got the stamp, though, count up hella them bands though boy how far can your bands go? fetty wap, i'm livin' fifty thousand k how i stand though, if you checkin' for my pockets i'm like  [hook] and i get high with my baby i just left the mall, i'm gettin' fly with my baby, yeah and i can ride with my baby i be in the kitchen cookin' pies with my baby, yeah and i can ride with my baby i just left the mall, i'm gettin' fly with my baby, yeah and i can ride with my baby i be in the kitchen cookin' pies  [bridge] i'm like, ""hey, what's up? hello"" seen yo pretty ass soon as you came in the door i just wanna chill, got a sack for us to roll married to the money, introduced her to my stove showed her how to whip it, now she remixin' for low she my trap queen, let her hit the bando we be countin' up, watch how far them bands go we just set a goal, talkin' matchin' lambos at 56 a gram, 5 a 100 grams though man, i swear i love her, how she work the damn pole hit the strip club, we be letting bands go everybody hating, we just call them fans, though in love with the money, i ain't never lettin' go  [verse 2] i be smokin' dope and you know backwoods what i roll remy boyz, fetty eating shit up, that's fasho i'll run in ya house, then i'll fuck your ho cause remy boyz or nothin', re-re-remy boyz or nothin'  [outro: nitt da gritt (fetty wap)] (she my trap queen) yeah, you hear my boy (she my trap queen) soundin' like a zillion bucks on the track (she my trap queen) i got whatever on my boy, whatever (and i get high with my baby) put your money where your mouth is money on the wood make the game go good money out of sight cause fights put up or shut up, huh? nitt da gritt, rgf productions (zoowap)  "
2015-01-01,I LOVE MAKONNEN Featuring Drake,Tuesday,"  [hook: ilovemakonnen] got the club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey  [verse 1: drake] squad goin' up, nobody flippin' packs now i just did 3 in a row, them shows is back-to-back to back now put the world on our sound, you know party and the weeknd ain't got no motherfuckin' time to party on the weekend tell gelo, ""bring the juice, we about to get lit"" fill the room up with some tings, one night off and this is it always workin' ot, overtime and outta town shit is crazy back home, it kills me that i'm not around i think we gettin' too deep; shit i'm talkin' might be too true upstairs i got xans in an advil bottle, i don't take them shits but you do, so i got 'em for you i don't need the pills, i'm just gon' have another drink and when i'm puttin' work in on a weekend i'll look back on this and think how we had the club going up  [hook: ilovemakonnen] got the club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey  [verse 2: ilovemakonnen] workin' monday night, on the corner flippin' hard made at least 3 thousand, on the boulevard i've been workin' graveyard shifts every other weekend ain't got no fuckin' time to party on the weekend i've been flippin' in the house, makin' juugs on the highway i've been ridin' out of state, makin' money like my way i don't think that i should dance, i'm just gon' have another drink i'm doin' my stance, you know my molly pink i got the loudest of the loud, you know my gas stink my p.o. think i'm in the house, don't give a damn 'bout what she think  [hook: ilovemakonnen] got the club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey  [bridge: ilovemakonnen] and it ain't no way no, how i made it on my own i made my own style, i don't think that i should stay you know i gotta' go, been moving too fast don't wanna take it slow  [hook: ilovemakonnen] got the club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey club goin' up, on a tuesday got your girl in the cut and she choosey  "
2017-09-14,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,"  [pre-chorus: logic] i've been on the low i been taking my time i feel like i'm out of my mind it feel like my life ain't mine (who can relate? woo!) i've been on the low i been taking my time i feel like i'm out of my mind it feel like my life ain't mine  [chorus: logic] i don't wanna be alive i don't wanna be alive i just wanna die today i just wanna die i don't wanna be alive i don't wanna be alive i just wanna die and let me tell you why  [verse 1: logic] all this other shit i'm talkin' 'bout they think they know it i've been praying for somebody to save me, no one's heroic and my life don't even matter, i know it, i know it i know i'm hurting deep down but can't show it i never had a place to call my own i never had a home, ain't nobody callin' my phone where you been? where you at? what's on your mind? they say every life precious but nobody care about mine  [pre-chorus: logic] i've been on the low i been taking my time i feel like i'm out of my mind it feel like my life ain't mine (who can relate? woo!) i've been on the low i been taking my time i feel like i'm out of my mind it feel like my life ain't mine  [chorus: logic] i want you to be alive i want you to be alive you don't gotta die today you don't gotta die i want you to be alive i want you to be alive you don't gotta die now lemme tell you why  [verse 2: alessia cara] it's the very first breath when your head's been drowning underwater and it's the lightness in the air when you're there chest to chest with a lover it's holding on, though the road's long and seeing light in the darkest things and when you stare at your reflection finally knowing who it is i know that you'll thank god you did  [verse 3: logic] i know where you been, where you are, where you goin' i know you're the reason i believe in life what's the day without a little night? i'm just tryna shed a little light it can be hard it can be so hard but you gotta live right now you got everything to give right now  [pre-chorus: logic] i've been on the low i been taking my time i feel like i'm out of my mind it feel like my life ain't mine (who can relate? woo!) i've been on the low i been taking my time i feel like i'm out of my mind it feel like my life ain't mine  [chorus: logic] i finally wanna be alive i finally wanna be alive i don't wanna die today i don't wanna die i finally wanna be alive i finally wanna be alive i don't wanna die i don't wanna die  [outro: khalid] pain don't hurt the same, i know the lane i travel feels alone but i'm moving 'til my legs give out and i see my tears melt in the snow but i don't wanna cry i don't wanna cry anymore i wanna feel alive i don't even wanna die anymore oh i don't wanna i don't wanna i don't even wanna die anymore  "
2015-04-16,Wiz Khalifa Featuring Charlie Puth,See You Again,"  [chorus: charlie puth] it's been a long day without you, my friend and i'll tell you all about it when i see you again we've come a long way from where we began oh, i'll tell you all about it when i see you again when i see you again  [verse 1: wiz khalifa] damn, who knew? all the planes we flew, good things we been through that i'd be standing right here talking to you 'bout another path, i know we loved to hit the road and laugh but something told me that it wouldn't last had to switch up, look at things different, see the bigger picture those were the days, hard work forever pays now i see you in a better place, uh  [refrain: wiz khalifa] how can we not talk about family when family's all that we got? everything i went through you were standing there by my side and now you gon' be with me for the last ride  [chorus: charlie puth] it's been a long day without you, my friend and i'll tell you all about it when i see you again we've come a long way from where we began oh, i'll tell you all about it when i see you again when i see you again  [post-chorus: charlie puth] aah oh, aah oh wooooh-oh-oh-oh-oh-oh yeah  [verse 2: wiz khalifa] first, you both go out your way and the vibe is feeling strong and what's small turned to a friendship, a friendship turned to a bond and that bond will never be broken, the love will never get lost and when brotherhood come first, then the line will never be crossed established it on our own when that line had to be drawn and that line is what we reached, so remember me when i'm gone  [refrain: wiz khalifa] how can we not talk about family when family's all that we got? everything i went through you were standing there by my side and now you gon' be with me for the last ride  [bridge: charlie puth] so let the light guide your way, yeah hold every memory as you go and every road you take will always lead you home, home  [chorus: charlie puth] it's been a long day without you, my friend and i'll tell you all about it when i see you again we've come a long way from where we began oh, i'll tell you all about it when i see you again when i see you again  [post-chorus: charlie puth] aah oh, aah oh wooooh-oh-oh-oh-oh-oh yeah  "
